,A,B,C,D,E,F,G,H
5.0,5614542,5883975,5460151,4644684,4525248,5478038,5909436,5704091
10.0,5732939,6010659,5577282,4782324,4614936,5595169,6076485,5853740
15.0,5808064,6139827,5691528,4811184,4705512,5711146,6203790,5979349
