,A,A-HJK,ABCDEFGHJK,B,C,CD,CDE,CDEH,D,E,EF,F,FG,FGHJK,G,GH,H,HJ,J,K
25.0,8638476,,,9121768,15449848,27543995,,,10548825,9507960,20207880,9806874,,,10556175,,15564408,26094510,7847390,8607522
63.0,9872478,,,9385542,18865884,34802604,,,13213200,11291742,24853752,9527364,,,13340250,34802604,19350616,,9328792,9425262
101.0,,,,,,,,,,,,,,,,,,,,
