,A,B,BC,BE,C,CD,CG,CH,D,DF,E,EF,F,FG,G,H
12.0,11683252,9187640,18474478,18220560,7272622,13851838,16035183,17969534,5529600,13617680,7691600,15737400,7732900,15790788,7746816,9783984
26.0,12279092,9590680,19361368,19095090,7600389,14516062,16803774,18817502,5785290,14270540,7473900,16491300,7480900,16548246,7361024,10186692
38.0,12726504,10312720,20114825,19837690,8032266,15080275,17457183,19533778,6096330,14825440,7773850,17132500,7781900,17191278,7641568,10124088
