,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4
2.0,11424150,10338363,12836356,7820910,,9200546,8499983,9781446,8797152,11707785
5.0,11647545,10629080,13078156,7960203,,9373387,8658083,9965670,9623103,11927490
8.0,11897175,9414676,13319956,8101305,16152125,9546228,13639273,10149288,9800889,12147195
