,A,B,C,CD,CF,D,E,F,FG,FH,G,H,J,JK,K
22.0,20104,21582,21402,22113,20967,20217,20632,20954,21463,22937,21549,21103,18652,25755,20525
68.0,,,,,,,,,,,,,,,
103.0,,,,,,,,,,,,,,,
