,A,AB,B,C,D,E,F,G,H
13.0,14726,18237,15963,17406,16420,16385,17476,15128,16211
28.0,16854,20545,18228,19194,18586,18616,19208,17047,16812
41.0,18608,22472,19714,19532,18739,20705,18403,18947,18721
