,A,AB,B,C,D,E,F,G,H
8.0,16675,25688,16405,16784,15897,17320,17430,16687,17308
21.0,17686,27430,17511,17242,17290,17945,18363,17612,17333
34.0,18620,29156,18659,16716,16945,18996,19522,18731,18352
