,1,10,11,12,13,14,15,16,17,18,19,2,20,21,3,4,5,6,7,8,9
7.0,6655,6189,6706,6691,6898,6296,6733,6879,6851,7048,6782,6688,6334,6214,6410,6662,6748,6241,6520,6808,6827
20.0,6955,6463,6862,6873,7202,6889,7144,7227,7147,7314,6998,6969,6602,6477,6613,6947,6953,6507,6879,7082,7110
34.0,7214,6708,7162,7176,7514,7330,7457,7490,7510,7448,7280,7261,6854,6738,6940,7213,7233,6729,7204,7341,7229
