,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,29,3,30,31,32,33,34,35,36,4,5,6,7,8,9
3.0,9458,8508,8114,8445,7566,8038,7765,8467,8544,10151,7570,8637,8438,8534,10119,9196,8877,8383,8528,9746,8886,7534,8917,9901,8569,9876,8918,9260,9609,7202,8869,8426,7706,7530,8551
8.0,9607,8795,8775,8805,7827,8697,8973,8833,8827,10473,7795,8957,8719,8802,10437,9278,9108,8656,9092,10039,9183,7795,9215,10201,8853,9994,9198,9040,8964,7447,9165,8707,8640,8721,8769
12.0,9849,9018,9567,9031,9019,9055,9673,9534,9053,10794,8000,9190,8948,9028,9478,9849,9415,8881,9037,10331,9478,8522,9459,10446,9095,10052,9474,9587,10009,7644,9408,8935,9501,8945,8994
