,A,B,C,CD,D,E,F,G
6.0,15865,17322,15737,15732,16493,15301,17073,15225
14.0,16066,18279,15932,16251,16994,15530,17988,15606
22.0,16859,18916,19547,17044,20007,16347,18930,16789
