,A,B,C,D,E,F,G,GH,H
6.0,19217,19178,17920,18071,18131,18065,19513,25865,21086
14.0,21568,20049,18799,18904,18990,18935,20629,27017,21975
23.0,22515,21129,19722,20155,20335,19890,22062,28347,22982
