,A,A1,A2,B,B2,B3,C,D,E,E1,E2,E3,F,F1,F2,G,H,I,J,K,L
4.0,,6668,9474,,10173,8441,,7150,,8462,10272,10970,,6967,9404,,11441,11094,8084,10289,10272
9.0,,6972,9892,,10616,8815,,7475,,8835,10719,11452,,7284,9816,,11784,11594,9383,10913,10719
14.0,,7275,10284,,11022,9162,,7800,,9181,11127,10823,,7601,10329,,12233,12074,8772,11135,11127
