,A,B,C,D,E,F,H,I,J,K,L,M,N,P,Q
3.0,10669,10606,10880,10145,10298,10662,10680,10686,11003,11284,10728,11602,10967,10987,10876
6.0,10624,10815,11100,10354,10510,10870,10890,10896,11222,11515,10938,11749,11186,11206,11097
10.0,11171,11104,11398,10632,10792,11165,11182,11188,11527,11819,11238,12045,11464,11510,11394
