,B01,B02,B03,B05,B06,B07,B08,B09,C01,C02,C03,C05,C06,C07,C08,C09,C10
3.0,8413725,7281302,8003286,7608840,7679638,7842240,7983058,7979900,8281550,7222506,7171626,5503164,5393808,5369306,5137404,5259744,5820330
8.0,8725250,7472690,8034017,7704145,7744212,7890865,8079530,8161553,8545050,7518618,7347585,5687314,5507208,5510276,5563616,5632452,6049842
11.0,8630475,7609618,8127377,7661355,7791281,8048799,8279476,8006767,8527200,7597820,7297710,5803392,5661432,5598414,5413756,5508972,6170362
