,A,B,C,D,E,F,G,H,HJ,J
8.0,15441,16957,16717,16711,16677,16766,16668,16058,15138,14638
18.0,16216,17175,17794,17828,17657,17690,17904,17353,16386,16272
26.0,18738,18498,19625,18611,18721,18364,18733,18371,17384,18252
