,1A,1B,1C,2A,2B,2C,2D
11.0,16603718,9402928,11157894,10275978,9245070,7064064,7882974
20.0,17119864,9635560,11499678,10471029,9527470,7285838,8090874
28.0,17523218,9892604,11805930,10642213,9807046,7485639,8135424
