,A,A1,A2,B,B1,B2,C,D,E,F,G,H,J,K,L,M,N,P,Q,R,S,T
7.0,16190291,4830720,7227610,16655196,5230590,5598960,9722700,7721675,8901200,7367310,7489390,7227610,7166871,12371415,9438750,6310690,13428300,8217720,9102370,13422350,7752000,7717800
14.0,16924449,7682606,7462930,17425068,5311170,5684650,9993360,8045975,9343600,4346310,7549885,7578470,7467891,8178275,6526890,6526890,6554000,8512560,9412900,8975475,8019330,7973160
22.0,13205280,7312125,7511160,6340488,5558440,5953200,9961338,6901257,6654123,7722540,7817040,7477330,7461663,8272880,6670240,6670240,6497856,8703450,9850470,9365925,8021870,7995390
