,A,B,C,D,E,F,G,G & H,H
5.0,5352893,5387172,5424755,5305811,4631154,5080548,5054412,9220200,5300889
12.0,,5628777,5670077,5946374,4832619,5322669,5296533,9633294,5789850
20.0,5865426,5904661,5950917,5898466,5076555,5587296,5560071,10106646,6058470
