,A,B,C,C & D,CD,D,E,F,G,H,I,J,K,L
3.0,13355,13042,13205,,,13086,13123,13081,12988,13123,13926,13195,13593,13195
7.0,13687,13370,13530,,,13414,13450,11548,13316,13450,14259,13524,13952,13524
11.0,13605,13705,12714,,,12605,13786,13743,13651,13786,14607,13862,14319,13862
