,A,B,C,D,E,F,G,H,J,K,L
14.0,37379595,8488555,7232544,13002528,9975118,7308865,7300300,7333900,7360368,7579100,11092814
29.0,40848945,9482267,7724288,14687376,10678143,7406646,7716800,7707700,7762512,7800260,11514140
43.0,43153786,9829160,8133312,14842080,11394076,8128178,8164100,8134700,8209968,8126680,12758656
