,1,2,3,4,5,6,7,8,B1,B3,B5,B6,B8,D1,D2,D3,D4,D5,D8,F1,F2,F5,F6,F7,H2,H3,H4,H5,J1,J2,J4,J5,J6,J7,whole floor
4.0,5557740,4859580,4908050,4429705,4493355,4908050,4908050,5358264,5557740,4909160,4370745,4956150,5557740,5564070,4738300,4926180,4546620,4517140,4960590,5518200,4827390,4525180,5160760,4396350,4856620,4908050,4422335,4531210,5340410,4773740,4472250,4482970,4972060,4959110,4908050
8.0,5514400,5077510,5080840,4762360,4762360,5080840,5080840,5640874,5753970,5160020,4661860,5331700,5753970,5846388,4981200,5182960,4846445,4842090,5120080,5809104,5177410,4826680,5511520,4541250,5028670,5080840,4719815,4762360,5691936,5097120,4772075,4779110,5273610,5310980,5080840
12.0,6049370,5198500,5251040,4839745,4839745,5251040,5252150,5758512,5945558,5341690,4776095,5380540,5945558,5953576,5061000,5273610,4966375,4959675,5277520,6018816,5347240,4952640,5701700,4683350,5194430,5251040,4465215,4839745,5933320,5264360,4895020,4904400,5368700,5471560,5251040
