,subjFloor,floorLv,unitNo,price,npsf,nfa
6.0/F低層A,6.0,低層,A,5277060,9258,570
10.0/F中層A,10.0,中層,A,5433240,9532,570
15.0/F高層A,15.0,高層,A,5627040,9872,570
6.0/F低層B,6.0,低層,B,4911375,9355,525
10.0/F中層B,10.0,中層,B,5057850,9634,525
15.0/F高層B,15.0,高層,B,5239500,9980,525
6.0/F低層C,6.0,低層,C,5674373,9167,619
10.0/F中層C,10.0,中層,C,5841503,9437,619
15.0/F高層C,15.0,高層,C,6048249,9771,619
6.0/F低層D,6.0,低層,D,4596711,9517,483
10.0/F中層D,10.0,中層,D,4731468,9796,483
15.0/F高層D,15.0,高層,D,4898586,10142,483
6.0/F低層E,6.0,低層,E,4804570,9514,505
10.0/F中層E,10.0,中層,E,4943950,9790,505
15.0/F高層E,15.0,高層,E,5116660,10132,505
6.0/F低層F,6.0,低層,F,5012238,12562,399
10.0/F中層F,10.0,中層,F,5161863,12937,399
15.0/F高層F,15.0,高層,F,4897326,12274,399
6.0/F低層whole floor,6.0,低層,whole floor,4563912,9528,479
10.0/F中層whole floor,10.0,中層,whole floor,4697553,9807,479
15.0/F高層whole floor,15.0,高層,whole floor,4863766,10154,479
