,10,2,4,5,6,7,8,9
4.0,3138546,3072550,3118700,3118700,3600942,3671560,3218680,3168660
6.0,3191847,3123900,3171350,3171350,3661741,3733880,3273285,3222120
9.0,3271635,3200925,3250650,3250650,3753499,3826980,3355025,3302640
