,1A,1B,1C,1D,1E,1F,1H,A,B,C,D,E,F,G,H
5.0,5263940,4394676,4966234,5119810,5033545,5217800,4852140,5222760,4970966,4994626,5260745,5230925,5159700,4711700,5222760
12.0,5020765,4518722,5083182,4913555,5154600,5316500,5030705,5005855,5088590,5095688,5005855,4974260,5069160,4835600,5058936
20.0,5319675,5296460,5089266,4994140,5298375,5443900,5183710,5202880,5090280,5277870,5199685,5167735,5386150,5030550,5182290
