,A,B,C,F,I,M,O,R,S,T,U
2.0,3639440,2785944,3038778,2802424,2891996,2820279,2852696,3467262,3604720,2549672,2382575
3.0,3658480,2794184,3051408,2816432,2906976,2848065,2867431,3484884,3717840,2562132,2383875
4.0,3675280,2814372,3065301,2830852,2921528,2848907,2881745,3502506,3640000,2576728,2407925
