,A,B,C,D,E,F,G,H,I,IJ,J,K,L,M,N,O,P
6.0,12339,14859,14801,15580,13294,14859,14277,12438,14686,15378,14637,15254,13450,14385,14846,13331,14107
10.0,12712,15180,15237,15337,13904,15213,14689,12810,15134,13503,15081,15729,13873,12938,15081,14514,15010
15.0,13805,15770,15783,15907,14409,15804,15280,13322,15722,14031,15871,16057,14422,15375,15791,14503,15567
