,A1,A2,A3,B1,B2,B3,C1,C2,C3,D1,D2,D3,E1,E3
2.0,545,604,616,626,604,565,598,604,565,598,604,565,604,594
3.0,545,604,616,626,604,565,598,604,565,598,604,565,604,594
4.0,545,604,616,626,604,565,598,604,565,598,604,565,604,594
