,D1,D10,D2,D9,E11,E12,E3,E4,E5,F14,F15,F6,F7,F8
3.0,3289230,2492917,3202589,2384760,2492917,2574250,2730767,3195712,3173287,3141927,3539715,2798640,2591592,2607264
5.0,2894220,2514771,3233984,2349270,2514771,2479983,3242356,2841098,2876380,2796510,2876913,2832427,2617488,2633136
7.0,2923200,2538855,3266276,2428650,2538855,2503621,3140480,2869503,2905084,2824446,2904805,2750440,2643135,2659272
