,AW08,AW09,AW11,BW06,BW07,BW08,BW09,BW10,BW11,CW02,CW12
9.0,9024,9423,9023,9144,9024,9048,9024,9062,9568,9030,8904
20.0,9408,9875,9368,9542,9408,9443,9408,9459,9995,9423,9270
29.0,9735,9801,9749,9855,9735,9776,9735,9788,10339,9706,9591
