,A,B,C,F,I,M,O,R,S,T,U
2.0,560,412,421,412,428,421,421,534,560,356,325
3.0,560,412,421,412,428,421,421,534,560,356,325
4.0,560,412,421,412,428,421,421,534,560,356,325
