,A,B,C,CD,D,E,EF,F
7.0,32512320,29888642,14809392,61545357,14733810,13840344,38041598,14118300
16.0,32677440,32622774,16956496,40069278,15991560,15021636,39989152,15323294
22.0,34480320,31833382,16916062,42011967,16829280,15808968,41927354,16126236
