,A,B,C,D,E,F,G,H,J,K,L,M,N
8.0,15925,15774,15247,15867,14802,15790,16051,14875,16862,17124,17071,15975,15564
22.0,17044,16449,16369,17638,15611,17081,16734,16419,19223,19101,18318,17270,16621
38.0,17568,18034,17759,19682,18576,17454,17786,17827,21814,21606,21453,18693,18133
