,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
15.0/F低層A,15.0,低層,A,12656364,17726,714,289,3,KSPK
26.0/F中層A,26.0,中層,A,13332522,18673,714,293,3,KSPK
37.0/F高層A,37.0,高層,A,14000826,19609,714,264,3,KSPK
15.0/F低層B,15.0,低層,B,12315072,17248,714,279,3,KSPK
26.0/F中層B,26.0,中層,B,12975522,18173,714,278,3,KSPK
37.0/F高層B,37.0,高層,B,13651680,19120,714,244,3,KSPK
15.0/F低層C,15.0,低層,C,9317880,17919,520,191,3,KSPK
26.0/F中層C,26.0,中層,C,9808240,18862,520,180,3,KSPK
37.0/F高層C,37.0,高層,C,10309520,19826,520,152,3,KSPK
15.0/F低層D,15.0,低層,D,9402734,17842,527,106,2,KSPK
26.0/F中層D,26.0,中層,D,9882304,18752,527,106,2,KSPK
37.0/F高層D,37.0,高層,D,10384535,19705,527,94,2,KSPK
