,A,B,C,CD,D,E,F,FG,G,H,J,K,L
16.0,20263,21417,20855,20216,19050,21552,22489,20559,21005,23023,22187,21308,22284
36.0,,22145,21556,21118,22349,23436,25162,22484,24147,25124,24638,23714,23738
65.0,,,,,,,,,,,,,
