,1,2,4,5,6,7,8,A,B,C,E,F,H
2.0,565,565,526,563,563,500,500,560,560,560,560,560,560
3.0,565,565,526,563,563,500,500,560,560,560,560,560,560
4.0,565,565,526,563,563,500,500,560,560,560,560,560,560
