,A,B,C,D,E,F,G,H,I,J
8.0,8427167,8048362,7307151,7211286,12025222,6922516,6965188,11804628,7154046,7416294
20.0,8915352,8169600,7776060,7729260,13845390,7271512,6570472,12206382,7458712,7920485
31.0,9298992,8114400,7839280,8123132,12895806,7372604,7571740,12531582,7568174,7893235
