,A,B,C,D,E,F,G,H,J,K,L,M
7.0,5645970,5563800,6543376,6543376,5592015,5653395,5605380,5653395,6535088,6578896,5699925,5619735
18.0,5914755,5743485,6761232,6761232,5764770,5842980,5783085,5842980,6822208,6886736,5962275,5797440
28.0,6068205,4983660,7062560,7062560,6024645,6113250,6048900,6113250,6960736,7028224,6203340,6063255
