,A,B,C,D,E,F,G,H,J,K,L,M,N
6.0,396,369,487,459,423,386,386,385,394,381,303,308,299
15.0,396,369,487,459,423,386,386,385,394,381,303,308,299
22.0,396,369,487,459,423,386,386,385,394,381,303,308,299
