,1,2,3,4,5,6,7,8,B1,B2,B4,B7
4.0,9042,9084,9084,9042,8976,9074,9074,8976,9728,8974,9086,9093
10.0,9295,9338,9338,9295,9226,9328,9328,9226,9903,9222,9340,9352
16.0,9561,9604,9604,9561,9489,9594,9594,9489,9609,9484,9607,9621
