,A,B,C,D,E,F,G,H,J,K,L
15.0,10083070,10477252,9088611,11698425,8035180,7162557,7365995,7676838,9610000,10429862,7809500
31.0,10261683,10324125,9774174,12144230,8547363,7716679,7495670,8085627,9872928,10984278,8228454
48.0,10751825,10570811,10201510,12366494,8816868,7784446,7820150,7932975,10243125,10945736,8200500
