,1,10,11,12,12A,14,15,16,17,18,19,2,20,21,22,23,24,25,26,27,28,3,4,5,6,7,8,9,G2,G4
4.0,3940600,4622700,6181714,4136076,3840018,3905400,3912455,3977420,3611500,4120162,3831690,3614315,3831690,4086675,3691548,3818747,3864553,4086675,4081509,5047825,4491550,3989856,4731087,4502654,5320949,4699193,4598385,4273089,4303480,4303480
10.0,4141540,4773275,6373336,4261572,3907956,3979920,4088535,4378530,3671020,4253277,3899764,3786505,3899764,4146822,3865284,4078360,3932412,4146822,4180401,5167050,4630130,4121600,4874610,4664868,6252576,4844009,4715400,4401993,4433299,4433299
15.0,3937880,4895350,6533314,4368546,4010032,4084455,4147820,4488510,3766500,4360443,4001538,3875950,4001538,4254939,3985254,4195576,4035053,4254939,4285935,5305275,4747800,4228688,4997014,4794374,6409578,4966844,4847640,4512819,4544459,4544459
