,A,B,C,D,E,F,G,H,J,K,L,M,N
6.0,242,272,272,272,272,260,230,280,274,317,220,277,251
12.0,242,272,272,272,272,260,230,280,274,317,220,277,251
19.0,242,272,272,272,272,260,230,280,274,317,220,277,251
