,1,10,2,3,4,5,6,7,8,9,E6,E8
4.0,5139120,4442256,4281220,3916698,3916698,3362976,3624600,3624600,3498912,4442256,3624600,3341664
7.0,5276200,4554368,5543460,4015213,4015213,3447360,3715800,3715800,3587040,4489576,3715800,3424896
10.0,5414200,4666116,5679620,4114051,4114051,4071870,3668100,3807000,3675456,4482296,3807000,3481632
