,1,12,2,3,4,5,6,7,8,A1,A2,A3,A6,A8,C1,C4,C7,E2,E5,G2,G5,G6,G7,G8,I1,I3,I4,I5,I6,I8
4.0,422,792,370,370,320,320,370,370,422,410,370,370,370,422,422,320,370,370,320,370,320,370,370,422,422,370,320,335,370,422
8.0,422,792,370,370,320,335,370,370,422,410,370,370,370,422,422,320,370,370,320,370,320,370,370,422,422,370,320,335,370,422
12.0,422,792,370,370,320,320,370,370,422,410,370,370,370,422,410,320,370,370,320,370,320,370,370,422,422,370,320,335,370,410
