,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
26.0/F低層A,26.0,低層,A,26182550,30803,850,401,4,KSWK
63.0/F中層A,63.0,中層,A,38175460,35678,1070,68,1,KSWK
101.0/F高層A,101.0,高層,A,,,,,,KSWK
26.0/F低層A-C,26.0,低層,A-C,,,,,,KSWK
63.0/F中層A-C,63.0,中層,A-C,,,,,,KSWK
101.0/F高層A-C,101.0,高層,A-C,,,,,,KSWK
26.0/F低層B,26.0,低層,B,33272850,29445,1130,337,5,KSWK
63.0/F中層B,63.0,中層,B,41264472,35976,1147,65,1,KSWK
101.0/F高層B,101.0,高層,B,,,,,,KSWK
26.0/F低層C,26.0,低層,C,32709768,29954,1092,338,4,KSWK
63.0/F中層C,63.0,中層,C,29336400,34800,843,81,1,KSWK
101.0/F高層C,101.0,高層,C,,,,,,KSWK
26.0/F低層D,26.0,低層,D,23855232,28032,851,337,4,KSWK
63.0/F中層D,63.0,中層,D,39688440,37092,1070,242,3,KSWK
101.0/F高層D,101.0,高層,D,,,,,,KSWK
26.0/F低層E,26.0,低層,E,22432832,27424,818,342,3,KSWK
63.0/F中層E,63.0,中層,E,27520064,33077,832,195,3,KSWK
101.0/F高層E,101.0,高層,E,,,,,,KSWK
26.0/F低層F,26.0,低層,F,31063199,28577,1087,325,4,KSWK
63.0/F中層F,63.0,中層,F,37740629,35173,1073,148,2,KSWK
101.0/F高層F,101.0,高層,F,,,,,,KSWK
