,6,A,B,C,D,E,F,G,H
3.0,845,1130,1090,1050,845,845,1090,1130,1050
6.0,845,1130,1090,1050,845,845,1090,1130,1050
10.0,845,1130,1090,1050,845,845,1090,1130,1050
