,10,11,12,15,16,23,3,6,APT 8
4.0,1920,1920,1920,1920,1920,2003,1920,1920,1920
6.0,1920,1920,1920,1920,1920,2003,1920,1920,1920
9.0,1920,1920,1920,1920,1920,2003,1920,1920,1920
