,A,B,C,D,E,F,G,H,I,J,K,L,M
3.0,425,413,413,413,415,450,300,514,253,395,348,335,330
7.0,425,413,413,413,415,450,300,514,253,395,348,335,330
11.0,425,413,413,413,415,450,300,514,253,395,348,335,330
