,A,B,C,D,DE,E,F,G,H,J
8.0,14096,17821,16465,14721,14080,15259,13990,13960,16281,15626
16.0,14481,18594,16855,16684,14401,15480,14518,14361,16713,15840
24.0,15477,15701,14570,18490,14702,17302,15349,15714,17758,17164
