,L,M,N,P,Q,R,S,T,U,V
5.0,4233130,4424100,4184360,4218816,4340872,4009408,3957436,4109448,4403100,4337240
12.0,4333760,4571700,4331528,4329776,4440444,4134824,4084560,4253164,4557900,4375520
18.0,4469770,4580100,4476652,4503808,4574472,4304892,4198752,4329780,4581300,4484270
