,1,10,11,12,13,14,15,16,17,18,19,2,20,21,22,23,24,3,4,5,6,7,8,9,A19,A20
4.0,475,285,,305,327,370,330,345,325,305,327,487,300,365,310,365,320,365,370,365,325,365,285,365,327,300
10.0,475,285,365,305,327,370,330,345,325,305,327,487,300,365,310,365,320,365,370,365,325,365,285,365,327,300
15.0,465,285,345,305,318,370,330,345,325,305,327,487,300,365,310,365,320,365,370,365,325,365,285,365,327,300
