,A,B,C,D,E,F,G,H,J
17.0,12886,15147,14397,13970,15518,14602,14159,15711,14556
32.0,14637,15309,15075,14681,16285,15342,15350,15988,15141
49.0,15529,16100,15259,15402,16082,15836,15795,15711,15690
