,A,B,C,D,E,F,G,GH,H
17.0,16584,14073,15493,15217,14206,15921,16470,13535,15179
38.0,16009,16683,13961,14637,15695,13587,16991,14280,16054
59.0,18973,17846,14723,16070,16321,14339,17654,14599,16937
