,1,10,2,3,4,5,6,7,8,9
7.0,4797640,3559276,4797640,3488299,5484435,3546845,4838082,4858580,3486294,5439930
18.0,5081288,3781831,5081288,3719676,5809515,3740127,5123946,5147214,3718072,5788230
29.0,5180454,3995965,5180454,3909750,6007530,3932607,5295686,5222004,3910552,5930130
