,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6
7.0,355,364,310,295,285,380,355,370,310,295,285,380
14.0,355,364,310,295,285,380,355,364,310,295,285,380
20.0,355,260,310,295,390,380,355,260,225,415,285,380
