,LA,LB,LC,LD,RA,RB,RC,RD
20.0,8627550,8739105,8262870,11866234,8050490,7432710,8010192,11570916
42.0,7964840,9591362,12352152,11755242,8285235,9657928,8261982,8473430
65.0,8709440,9295396,11845392,12172453,8298535,8807088,9257790,8662955
