,A,B,C,D,E,F,G,I,J,K,L
2.0,2400800,3237000,2949345,2949345,2978700,2513995,2969850,3212440,2873200,2939730,2980495
3.0,2413000,3214575,2964150,2964150,2993700,2526680,2984670,2910880,2887500,2954520,2995235
4.0,2425000,3230825,2978955,2978955,3008700,2539365,2999880,2925440,2902075,2969310,3010310
