,A,B,C,D,E,F,G,H,J,K
7.0,6411759,5258360,6445667,6946560,4888026,5169500,6391872,6404700,5249900,5968509
20.0,6732081,5548350,7033630,7199424,4796030,5413838,7195968,7237888,5668200,6340839
33.0,7190697,5911190,7579472,7618176,5055982,5794482,7710336,7652751,6023050,6677709
