,10,11,12,13,15,2,20A,20C,21A,21C,22,23,24,3,6,7,9
6.0,6605,6271,6133,6335,6271,6381,,,,,6293,6271,6385,6271,6193,6271,6216
16.0,6910,6863,6712,6989,6863,6896,,,,,6863,6763,6988,6863,6577,6863,6772
28.0,7252,7280,7118,7411,7280,7313,,,,,7282,7280,7400,7280,7116,7280,7187
