,1,10,11,12,2,3,4,5,6,7,8,9,A,B,D,E,F,G,H,J
2.0,435,292,281,336,483,358,365,347,320,310,321,309,320,395,337,337,277,320,337,337
5.0,435,292,281,336,483,358,365,347,320,310,321,309,320,395,337,337,277,321,337,337
8.0,491,292,281,336,483,358,365,347,320,310,321,309,320,395,337,337,277,321,337,337
