,A,B,C,CD,D,E,F,G
6.0,5457560,4070670,5413528,6638904,5162309,5079932,4012155,5237400
14.0,5526704,4295565,6006364,6857922,5319122,5683980,4227180,5368464
22.0,5799496,4445260,4300340,7192568,4041414,5983002,4448550,5775416
