,subjFloor,floorLv,unitNo,price,npsf,nfa
2.0/F低層B,2.0,低層,B,3310071,7307,453
3.0/F中層B,3.0,中層,B,3354918,7406,453
4.0/F高層B,4.0,高層,B,3323208,7336,453
2.0/F低層C,2.0,低層,C,3163500,8436,375
3.0/F中層C,3.0,中層,C,3172500,8460,375
4.0/F高層C,4.0,高層,C,2891250,7710,375
2.0/F低層D,2.0,低層,D,3461584,7976,434
3.0/F中層D,3.0,中層,D,3473302,8003,434
4.0/F高層D,4.0,高層,D,3485888,8032,434
2.0/F低層F,2.0,低層,F,3522581,7543,467
3.0/F中層F,3.0,中層,F,3520713,7539,467
4.0/F高層F,4.0,高層,F,3587027,7681,467
2.0/F低層G,2.0,低層,G,3545550,7879,450
3.0/F中層G,3.0,中層,G,3539250,7865,450
4.0/F高層G,4.0,高層,G,3596400,7992,450
2.0/F低層H,2.0,低層,H,2800098,8946,313
3.0/F中層H,3.0,中層,H,2858003,9131,313
4.0/F高層H,4.0,高層,H,2816687,8999,313
2.0/F低層I,2.0,低層,I,2693496,8633,312
3.0/F中層I,3.0,中層,I,2700984,8657,312
4.0/F高層I,4.0,高層,I,2709720,8685,312
2.0/F低層J,2.0,低層,J,3561660,7578,470
3.0/F中層J,3.0,中層,J,3649080,7764,470
4.0/F高層J,4.0,高層,J,3587510,7633,470
2.0/F低層K,2.0,低層,K,3522041,7607,463
3.0/F中層K,3.0,中層,K,3534079,7633,463
4.0/F高層K,4.0,高層,K,3661867,7909,463
2.0/F低層L,2.0,低層,L,2749862,8842,311
3.0/F中層L,3.0,中層,L,2743020,8820,311
4.0/F高層L,4.0,高層,L,2829789,9099,311
2.0/F低層M,2.0,低層,M,2753920,8606,320
3.0/F中層M,3.0,中層,M,2761600,8630,320
4.0/F高層M,4.0,高層,M,2770560,8658,320
2.0/F低層N,2.0,低層,N,3545135,7495,473
3.0/F中層N,3.0,中層,N,3556487,7519,473
4.0/F高層N,4.0,高層,N,3682305,7785,473
2.0/F低層O,2.0,低層,O,3561660,7578,470
3.0/F中層O,3.0,中層,O,3573880,7604,470
4.0/F高層O,4.0,高層,O,3587510,7633,470
2.0/F低層P,2.0,低層,P,3160500,8428,375
3.0/F中層P,3.0,中層,P,3169500,8452,375
4.0/F高層P,4.0,高層,P,3179625,8479,375
2.0/F低層Q,2.0,低層,Q,3051000,8475,360
3.0/F中層Q,3.0,中層,Q,3059640,8499,360
4.0/F高層Q,4.0,高層,Q,3069360,8526,360
