,A,B,D,E,F,G,H,I,J,K,L,M,N
2.0,348,358,360,360,349,293,341,277,322,308,308,308,317
4.0,348,358,360,360,349,293,341,277,322,308,308,308,317
7.0,348,358,360,360,349,293,341,277,322,308,308,308,317
