,subjFloor,floorLv,unitNo,price,npsf,nfa,com_score,com_no,district
10.0/F低層A,10.0,低層,A,7274442,16023,454,230,2,HSW
15.0/F中層A,15.0,中層,A,7502350,16525,454,239,2,HSW
20.0/F高層A,20.0,高層,A,7718454,17001,454,236,2,HSW
10.0/F低層B,10.0,低層,B,7747056,17064,454,89,1,HSW
15.0/F中層B,15.0,中層,B,8004928,17632,454,90,1,HSW
20.0/F高層B,20.0,高層,B,8262800,18200,454,85,1,HSW
